year;country;iso;ifs;pop;rgdpmad;rgdppc;rconpc;gdp;iy;cpi;ca;imports;exports;narrowm;money;stir;ltrate;stocks;debtgdp;revenue;expenditure;xrusd;crisisJST;tloans;tmort;thh;tbus;hpnom
1870;Australia;AUS;193;1775;3273,239437;13,83615656;21,44973425;208,78;0,1092656;2,708333;-6,147594;36;37;23,3;54,3;4,88;4,911817;0,304609113;0,172568;;;0,366946147;0;54,792;1,68;1,68;53,112;0,492252614
1871;Australia;AUS;193;1675;3298,507463;13,93686449;19,93080128;211,56;0,1045791;2,666667;5,260774;34;46;27,2;59,5;4,6;4,844633;0,280118541;0,191799;;;0,36914645;0;53,748;1,766;1,766;51,982;0,469877495
1872;Australia;AUS;193;1722;3553,426249;15,04424689;21,08500566;227,4;0,130438;2,541667;7,867636;38;53;36,2;68,5;4,6;4,73735;0,323704985;0,15492;;;0,369238809;0;55,822;1,47;1,47;54,352;0,484794241
1873;Australia;AUS;193;1769;3823,629169;16,21944267;23,2549099;266,54;0,1249862;2,541667;-11,0478328;49;50;38,6;73,7;4,4;4,671958;0,374300075;0,142692;;;0,362404776;0;65,38;1,364;1,364;64,016;0,469877495
1874;Australia;AUS;193;1822;3834,796926;16,26822782;23,45804987;287,58;0,1419599;2,666667;-5,5639588;49;54;37,9;79,3;4,5;4,653317;0,394924009;0,194322;;;0,372223455;0;71,478;1,434;1,434;70,044;0,566836343
1875;Australia;AUS;193;1874;4138,207044;17,59210697;25,66950547;300,74;0,160564;2,75;-7,9087368;50;52;37,5;88,5;4,6;4,507325;0,413643407;0,233687;;;0,360925616;0;79,954;1,564;1,564;78,39;0,566836343
1876;Australia;AUS;193;1929;4007,257646;17,01903329;24,80616059;311,26;0,1678778;2,791667;-6,9521128;48;51;38,2;95,8;4,6;4,565908;0,416024088;0,158506;;;0,372021708;0;86,206;1,86;1,86;84,346;0,522086105
1877;Australia;AUS;193;1995;4036,090226;17,14565201;25,21705735;313,66;0,2099336;2,875;-14,6247988;52;51;40,2;105,7;4,5;4,38885;0,436259881;0,176092;;;0,39991068;0;101,036;2,42;2,42;98,616;0,522086105
1878;Australia;AUS;193;2062;4277,400582;18,2052614;26,56055125;324,3;0,181141;2,833333;-16,3359228;52;50;38,7;106,2;4,8;4,4428;0,421975792;0,172852;;;0,412572881;0;106,648;2,754;2,754;103,894;0,589211462
1879;Australia;AUS;193;2127;4204,983545;17,887247;26,5189999;334,44;0,1615086;2,75;-12,3326728;48;44;37,2;108,3;4,9;4,60335;0,361863585;0,208934;;;0,415088257;0;102,726;2,9;2,9;99,826;0,604128208
1880;Australia;AUS;193;2197;4285,389167;18,24058509;25,66950547;344,32;0,1764724;2,666667;0,7857892;46;59;44,6;114,8;4,7;4,409408;0,399954488;0,222212;;;0,412522539;0;94,008;2,996;2,996;91,012;0,574294716
