year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,debtgdp,revenue,expenditure,xrusd,peg,peg_strict,crisisJST,tloans,tmort,thh,tbus,hpnom,peg_type,peg_base,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr
1870,Australia,AUS,193,1775,3273.239437,13.83615656,21.44973425,208.78,0.1092656,2.708333,-6.147594,36,37,23.3,54.3,4.88,4.911817,0.172568,,,0.3669461471,1,1,0,54.792,1.68,1.68,53.112,0.4922526136,PEG,GBR,-0.004903895315,,,0.04879999906,,,,,,-0.07004543394,0.07141703367,,,,0.04911816865,0.06641459465,,,
1871,Australia,AUS,193,1675,3298.507463,13.93686449,19.93080128,211.56,0.1045791,2.666667,5.260774,34,46,27.2,59.5,4.6,4.844633,0.191799,,,0.3691464496,1,1,0,53.748,1.766,1.766,51.982,0.4698774948,PEG,GBR,0.1101929694,,,0.04600000009,,,-0.04545630142,,,0.04165362939,0.06546638161,,,,0.04844633117,0.06819329411,,,
1872,Australia,AUS,193,1722,3553.426249,15.04424689,21.08500566,227.4,0.130438,2.541667,7.867636,38,53,36.2,68.5,4.6,4.73735,0.15492,,,0.3692388093,1,1,0,55.822,1.47,1.47,54.352,0.4847942407,PEG,GBR,0.1767493039,,,0.04600000009,,,0.03174660727,,,0.108945474,0.06299734861,,,,0.04737349972,0.06986062229,,,
1873,Australia,AUS,193,1769,3823.629169,16.21944267,23.2549099,266.54,0.1249862,2.541667,-11.0478328,49,50,38.6,73.7,4.4,4.671958,0.142692,,,0.3624047758,1,1,0,65.38,1.364,1.364,64.016,0.4698774948,PEG,GBR,0.151685819,,,0.04399999976,,,-0.03076977096,,,0.08308646828,0.06448418647,,,,0.04671958089,0.06984195113,,,
1874,Australia,AUS,193,1822,3834.796926,16.26822782,23.45804987,287.58,0.1419599,2.666667,-5.5639588,49,54,37.9,79.3,4.5,4.653317,0.194322,,,0.3722234551,1,1,0,71.478,1.434,1.434,70.044,0.566836343,PEG,GBR,0.1914813966,,,0.04500000179,,,0.2063497454,,,0.1193888634,0.06350295991,,,,0.04653317109,0.07108450681,,,
1875,Australia,AUS,193,1874,4138.207044,17.59210697,25.66950547,300.74,0.160564,2.75,-7.9087368,50,52,37.5,88.5,4.6,4.507325,0.233687,,,0.3609256158,1,1,0,79.954,1.564,1.564,78.39,0.566836343,PEG,GBR,0.1244078726,,,0.04600000009,,,0,,,0.05705872923,0.06364297867,,,,0.04507324845,0.0672743693,,,
1876,Australia,AUS,193,1929,4007.257646,17.01903329,24.80616059,311.26,0.1678778,2.791667,-6.9521128,48,51,38.2,95.8,4.6,4.565908,0.158506,,,0.372021708,1,1,0,86.206,1.86,1.86,84.346,0.5220861054,PEG,GBR,0.1188145652,,,0.04600000009,,,-0.07894700021,,,0.05410354957,0.06022258103,,,,0.04565908015,0.06348083913,,,
1877,Australia,AUS,193,1995,4036.090226,17.14565201,25.21705735,313.66,0.2099336,2.875,-14.6247988,52,51,40.2,105.7,4.5,4.38885,0.176092,,,0.3999106798,1,1,0,101.036,2.42,2.42,98.616,0.5220861054,PEG,GBR,0.1365913749,,,0.04500000179,,,0,,,0.07444196939,0.05730547011,,,,0.04388850182,0.06157140061,,,
1878,Australia,AUS,193,2062,4277.400582,18.2052614,26.56055125,324.3,0.181141,2.833333,-16.3359228,52,50,38.7,106.2,4.8,4.4428,0.172852,,,0.4125728812,1,1,0,106.648,2.754,2.754,103.894,0.5892114618,PEG,GBR,-0.07893735915,,,0.04800000042,,,0.1285707653,,,-0.132736519,0.06448046863,,,,0.04442799836,0.05592155457,,,
1879,Australia,AUS,193,2127,4204.983545,17.887247,26.5189999,334.44,0.1615086,2.75,-12.3326728,48,44,37.2,108.3,4.9,4.60335,0.208934,,,0.4150882566,1,1,0,102.726,2.9,2.9,99.826,0.6041282076,PEG,GBR,0.1241358593,,,0.04899999872,,,0.02531690709,,,0.06007049978,0.06041678786,,,,0.04603350163,0.06404605508,,,
